Nombre,ID,Tipo,Prioridad,Estado,RF relacionados,Módulo,Sprint sugerido,Descripción,Dependencias,Criterios de aceptación,Evidencia requerida,Decisiones bloqueantes,Etiquetas
Implementar autenticación y sesiones seguras,SEG-001,Seguridad,P1,Pendiente,RF-002,Seguridad / Usuarios,Sprint 1,"Proteger el sistema con inicio y cierre de sesión, control de usuarios activos y protección contra intentos repetidos.",Ninguna,Login y logout funcionales; usuario inactivo no accede; todas las rutas privadas requieren sesión; rate limiting aplicado.,"Pruebas HTTP de acceso anónimo, credenciales inválidas, usuario inactivo y sesión válida.",,"seguridad,autenticación,fundación"
Aplicar RBAC y alcance por empresa y planta,SEG-002,Seguridad,P1,Pendiente,"RF-001, RF-002, RF-025",Seguridad / Multiempresa,Sprint 1,"Aplicar policies, permisos y aislamiento a cada lectura y escritura según rol, organización y planta.","SEG-001, DB-002",Un usuario solo ve plantas autorizadas; accesos cruzados responden 404; operaciones críticas requieren permiso explícito.,Matriz automatizada de roles y pruebas de acceso cruzado entre empresas y plantas.,D-08,"seguridad,rbac,multiempresa"
Cifrar y enmascarar datos sensibles,SEG-003,Seguridad,P1,Pendiente,"RF-003, RF-024, RNF-06, RNF-07",Privacidad,Sprint 2,"Cifrar cédulas, cuentas bancarias y otros datos sensibles; enmascararlos en interfaz y registrar su consulta.","SEG-001, SEG-002, DB-003",Datos sensibles cifrados en reposo; UI muestra máscara por defecto; acceso completo requiere permiso y genera auditoría.,"Prueba de almacenamiento cifrado, serialización enmascarada y evento de acceso.",,"seguridad,privacidad,cifrado"
Eliminar arranque destructivo del contenedor,OPS-001,Infraestructura,P1,Pendiente,"RNF-04, RNF-06, RNF-08",DevOps / Despliegue,Sprint 1,Reemplazar migrate:fresh y regeneración de APP_KEY por migraciones incrementales y configuración persistente.,Ninguna,Reiniciar el contenedor no elimina registros ni cambia APP_KEY; despliegue falla de forma segura si una migración falla.,Prueba de reinicio con registros testigo y comparación antes/después.,,"infraestructura,despliegue,integridad"
"Configurar respaldo, restauración y recuperación",OPS-002,Infraestructura,P1,Pendiente,RNF-04,Disponibilidad,Sprint 2,"Definir backups automáticos, retención, RPO/RTO y procedimiento probado de restauración.",OPS-001,Backup programado y cifrado; restauración documentada y probada; alertas ante fallo.,"Log de backup, acta de restauración y medición RPO/RTO.",,"infraestructura,backup,disponibilidad"
Implementar observabilidad de aplicación y dispositivos,OPS-003,Infraestructura,P2,Pendiente,RNF-10,Observabilidad,Sprint 3,"Registrar versión, métricas, errores, latencia y último sync por dispositivo Sunmi.","BE-002, DB-004","Dashboard técnico muestra salud, versión, último sync y errores por dispositivo; alertas configuradas.","Capturas del panel, logs correlacionados y prueba de alerta.",,"observabilidad,logs,métricas"
Adoptar UUID y campos transversales,DB-001,Base de datos,P1,Pendiente,"RF-007, RF-008, RF-025",Arquitectura de datos,Sprint 1,"Incorporar UUID, estado, actores, vigencias, snapshot de regla, origen, motivo de anulación y versión.",Ninguna,Entidades nuevas usan UUID; cambios y anulaciones conservan historia; identificadores externos son únicos.,"Esquema, migraciones reversibles y pruebas de unicidad/versionado.",,"base-de-datos,uuid,trazabilidad"
"Completar organización, plantas, centros y periodos",DB-002,Base de datos,P1,Bloqueado por decisión,RF-001,Administración,Sprint 1,"Modelar organización, plantas, centros de costo y periodos operativos con moneda y zona horaria.",DB-001,Toda transacción pertenece a una planta y periodo; centros tienen vigencia; scopes son obligatorios.,"Migraciones, diagrama relacional y pruebas de aislamiento.",D-08,"base-de-datos,organización,periodos"
"Normalizar productores, alias, beneficiarios y cuentas",DB-003,Base de datos,P1,Pendiente,RF-003,Productores,Sprint 2,"Separar identidad estable, alias históricos, beneficiarios y cuentas bancarias con vigencia.","DB-001, DB-002",Productor mantiene código estable; alias no duplican pagos; cuenta aplicada corresponde a la fecha de liquidación.,"Pruebas de duplicado, fusión auditada y cambio de cuenta.",,"base-de-datos,productores,cuentas"
"Modelar vehículos, dispositivos, asignaciones y recorridos",DB-004,Base de datos,P1,Bloqueado por decisión,"RF-004, RF-006, RF-009",Rutas / Sunmi,Sprint 2,"Crear vehículos, dispositivos, route_assignments y route_runs con conductor, turno, secuencia y vigencia.","DB-001, DB-002",Una asignación vigente por turno; recorrido registra apertura/cierre; secuencia de productores es versionable.,"Pruebas de solapamiento, recorrido y reasignación.",D-10,"base-de-datos,rutas,dispositivos"
"Crear entregas, recepciones y conflictos offline",DB-005,Base de datos,P1,Bloqueado por decisión,"RF-007, RF-008, RF-009",Acopio / Recepción,Sprint 2,"Crear collection_deliveries, plant_receptions y conflictos con UUID, recibo, dispositivo, estado y timestamps.","DB-001, DB-004",Mismo UUID no duplica; recibo distinto genera conflicto; recepción conserva litros físicos y responsable.,"CP-08, RC-01, RC-02 y pruebas de claves únicas.","D-05, D-10","base-de-datos,acopio,idempotencia"
"Persistir liquidaciones, líneas y ajustes",DB-006,Base de datos,P1,Bloqueado por decisión,"RF-010, RF-011, RF-012",Liquidación,Sprint 3,"Crear settlement, líneas, conceptos, snapshots y estados de revisión/aprobación/cierre.","DB-001, DB-003, BE-001",Totales se derivan de líneas; cierre vuelve inmutable la liquidación; ajustes crean versión o movimiento.,"CP-01, CP-02, RC-03 y RC-04.",D-01,"base-de-datos,liquidación,ajustes"
"Modelar fondos, órdenes, pagos, caja y bancos",DB-007,Base de datos,P1,Pendiente,"RF-013, RF-014",Tesorería,Sprint 4,"Crear solicitudes de fondos, órdenes, pagos, movimientos de caja/banco, arqueos y conciliación.","DB-001, DB-002, DB-006",Pago se vincula a obligación; banco a caja genera dos movimientos; referencias externas no se duplican.,"RC-05, RC-06, RC-07, RC-08 y RC-12.",,"base-de-datos,tesorería,pagos"
"Crear lotes, movimientos, ubicaciones y remisiones",DB-008,Base de datos,P2,Bloqueado por decisión,"RF-017, RF-019, RF-020, RF-021",Producción / Inventario,Sprint 5,"Sustituir stock editable por lotes y kardex; modelar ubicaciones, remisiones y subproductos.","DB-001, DB-002",Saldo deriva de movimientos; remisión genera salida; anulación genera contramovimiento; lote conserva vencimiento.,"RC-09, RC-10 y RC-11.","D-06, D-07","base-de-datos,producción,kardex"
"Modelar gastos, costos, contratos, nómina y documentos",DB-009,Base de datos,P2,Bloqueado por decisión,"RF-022, RF-023, RF-024, RF-025",Costos / RRHH / Documentos,Sprint 6,"Crear facturas, costos, contratos, asistencia, nómina, documentos y enlaces de evidencia.","DB-001, DB-002",Cada cifra tiene fuente; nómina y costos guardan versión de política; documentos se vinculan a entidades.,"CP-07, CP-NO-01, RC-13 y RC-14.","D-06, D-09","base-de-datos,costos,rrhh"
Implementar motor de precios versionado,BE-001,Backend,P1,Pendiente,"RF-005, RF-010",Precios,Sprint 2,"Resolver precio por alcance, prioridad, vigencia y aprobación y guardar la regla aplicada.","DB-001, DB-002, DB-003",Precio correcto para productor/ruta/planta/fecha; solapamientos se rechazan o resuelven por prioridad; snapshot inmutable.,"Pruebas de límites de vigencia, prioridad y retroactividad.",,"backend,precios,reglas"
Implementar API de sincronización idempotente,BE-002,Backend,P1,Pendiente,"RF-006, RF-008",Acopio offline,Sprint 2,"Aceptar eventos Sunmi reintentables, devolver éxito para UUID conocido y registrar conflictos/eventos tardíos.","DB-004, DB-005",Retry no duplica; UUID distinto con mismo recibo se bloquea; evento tardío no entra silenciosamente al cierre.,"Pruebas de retry, pérdida de red, orden alterado y CP-08.",,"backend,sincronización,idempotencia"
Implementar cierre de ruta y conciliación física,BE-003,Backend,P1,Bloqueado por decisión,RF-009,Recepción,Sprint 3,"Cerrar recorrido, comparar entregas sincronizadas contra recepción y resolver diferencias.","DB-004, DB-005, BE-002","No se cierra con diferencia fuera de tolerancia; incidencia tiene responsable, motivo y auditoría.","RC-01, RC-02 y prueba de evento tardío.",D-05,"backend,recepción,reconciliación"
Generar liquidación semanal reproducible,BE-004,Backend,P1,Bloqueado por decisión,"RF-010, RF-011",Liquidación,Sprint 3,"Persistir viernes-jueves, precio, bruto, anticipos, deducciones, neto y consolidado por ruta.","BE-001, BE-003, DB-006","CP-01 produce 459 L y C$5,967; conceptos explican neto; detalle, ruta y consolidado concilian.","CP-01, CP-02 y comparación con EV-01/02/03.",D-01,"backend,liquidación,cálculos"
Implementar cuenta auxiliar y aprobación segregada,BE-005,Backend,P1,Bloqueado por decisión,"RF-011, RF-012",Liquidación / Gobernanza,Sprint 3,"Gestionar saldo de anticipos/deducciones y separar cálculo, revisión y aprobación.","DB-006, SEG-002",Ajustes autorizados; saldo nunca se pierde; calculador no aprueba su propia planilla; historial visible.,"Pruebas de ledger, matriz RBAC y CP-AC-03.",D-01,"backend,aprobaciones,segregación"
Ejecutar pagos y fondos idempotentes,BE-006,Backend,P1,Pendiente,"RF-013, RF-014",Tesorería,Sprint 4,"Implementar solicitud, desembolso, ejecución, rechazo, saldo pendiente y confirmación bancaria/efectivo.","DB-007, BE-005, SEG-002",No se paga dos veces; pagos suman neto; rechazo conserva obligación; movimiento financiero concilia.,RC-05 a RC-08 y prueba de retry.,,"backend,pagos,fondos"
Implementar transporte y combustible,BE-007,Backend,P2,Bloqueado por decisión,"RF-015, RF-016",Transporte,Sprint 5,"Gestionar servicio, tarifa, deducción, autorización de combustible, despacho, factura y pago.",DB-007,Cantidad por tarifa sin fórmula heredada; ajuste explícito y aprobado; combustible queda ligado a vehículo.,"CP-03, CP-TR-01 y EV-08.",D-02,"backend,transporte,combustible"
